indicator,País__ESTANDAR,Grupos etarios Uso Internet,Años__ESTANDAR,value,unit,notes_ids,source_id
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2016,76,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2017,76,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2018,79,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2019,79,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2020,88,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2021,87,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,edad de medicion a 17 años,2022,87,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2016,86,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2017,90,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2018,90,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2019,92,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2020,95,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2021,95,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,18 a 25 años de edad,2022,97,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2016,82,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2017,86,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2018,88,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2019,90,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2020,92,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2021,94,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,26 a 50 años de edad,2022,95,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2016,61,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2017,68,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2018,74,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2019,77,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2020,81,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2021,87,Porcentaje sobre el total de personas en cada grupo etario,,9353
"Personas usuarias de Internet por grupo etario, países seleccionados América Latina y el Caribe, 2000 a 2022",Argentina,51 a 65 años,2022,88,Porcentaje sobre el total de personas en cada grupo etario,,9353
