country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,9.147070583237067,9.1,10.0,11.0,12.1,13.3,14.6,16.0,17.6,27.0,34.0,40.5498397,45.0,48.5,54.0,62.0,71.0,74.0,78.0,80.0,86.0,87.0,89.0,93.38000393,93.69248446
Bolivia (Estado Plurinacional de),1.0,5.736992368109227,1.785,1.901714237,2.0,3.5,3.3,3.3,3.3,30.0,6.0,7.39577925644776,36.0,37.0,35.0,38.0,39.0,36.0,44.0,48.0,60.0,66.0,62.62513886,66.65889029,68.73218009
Brasil,10.32510145650054,8.6,10.3,11.5,12.4,21.0,16.82,20.0,35.0,42.0,27.06,47.0,49.0,49.0,54.0,58.0,53.9074542983613,60.7539786842849,66.6629816019046,71.3881710706827,83.16906749,81.52937791,80.23550737,84.10609238,83.43679991
Chile,19.0,9.6,10.1884930001181,28.0,14.49931348,16.6849279,37.0,22.09419197,26.6,43.0,35.0,53.0,46.5,60.0,57.4,68.0,79.2977952516551,75.0,88.7118020333111,89.9003216562705,89.75783439,93.79611161,93.17631164,94.34661143,96.50037679
Colombia,1.0,4.5,5.0,5.46,6.0,6.2,7.1,10.21,12.8,14.9730240841177,19.3,23.4182816594428,49.0,52.0,53.0,56.0,58.0,49.9522336609058,64.0,65.0,70.0,73.0,73.0,63.93571464,65.64878683
Costa Rica,4.0,5.35,7.27,10.01,10.105,10.20202655,9.7,11.7,14.8219035,18.6504984081337,24.1,33.5810876424446,48.0,48.25,55.0470209130326,60.0,66.0,72.0,74.0,81.0,81.0,83.0,83.0,81.7396165,81.08033844
Ecuador,1.0,7.607683656438077,2.033245797,2.567592199,2.77,3.5,4.37,6.83,7.06,25.0,29.0,16.8607455882805,22.4936147079874,40.0,32.4360112366419,51.0,56.0,58.0,56.0,59.0,53.20949717,56.70710303,60.43461608,62.21893134,65.97548569
El Salvador,1.0,1.0,2.3,2.4,2.0,2.1,5.0,7.0,4.532773493,12.0,16.0,11.6829175334179,21.0,23.0,25.0,27.0,28.0,34.0,41.0,51.0,27.61904814,31.23638995,30.37824338,31.67506217,33.62644067
Honduras,1.0,4.2701382877663026,0.0,1.1,6.0,7.0,1.4,2.5,4.15205469,10.0,12.0,15.0,15.0,18.0,23.0,27.0,30.0,26.481488234905,37.0,40.0,33.9855365,45.64102077,49.17513925,50.83034008,50.75729032
México,1.0,6.1,7.5,8.1,8.7,8.9,10.1,12.00453497,13.50430403,18.3609059349117,22.2,23.2656821198463,25.97,30.74,34.3927386621619,57.0,60.0,64.0,64.0,70.0,73.0,76.0,79.0,71.65352066,73.60545652
Panamá,1.0,6.707344924810787,5.101234568,5.2,9.519821965623427,8.823268453280843,8.1,8.9,9.339506173,15.1,20.26,20.73,30.5211293625619,33.52,45.0,51.0,54.0,60.0,62.0,64.0,71.18587273,72.96129581,76.0,76.47114225,79.98796943
Paraguay,1.0,1.6821351749769402,1.0,1.8,1.0,8.0,8.0,11.0,15.0,19.0,20.0,24.0,29.0,37.0,24.5549425964322,50.0,53.0,61.0,65.0,69.0,74.0,77.0,76.0,55.78533827,63.79161126
Perú,0.7,0.25,0.8,1.4,2.0,3.5,4.7,30.0,31.0,33.0,33.0,34.0,36.0,37.0,38.0,39.0,43.0,46.0,49.0,54.0,61.0,68.0,69.0,55.27023012,55.54460975
Uruguay,14.113613415427551,13.0,13.6,13.3,13.5,13.5,13.4,15.8,36.0,42.0,48.0,52.0,54.0,58.0,62.0,65.0,72.0,77.0,81.0,83.0,75.94996894,83.20094923,91.14418412,92.67451809,94.23054675
