country,year,edad de medicion a 17 años,18 a 25 años de edad,26 a 50 años de edad,51 a 65 años,66 años en adelante,Total
Argentina,2016,76,86,82,61,29,71
Argentina,2017,76,90,86,68,34,74
Argentina,2018,79,90,88,74,40,78
Argentina,2019,79,92,90,77,46,80
Argentina,2020,88,95,92,81,55,86
Argentina,2021,87,95,94,87,57,87
Argentina,2022,87,97,95,88,63,89
Bolivia (Estado Plurinacional de),2009,30,56,27,11,3,30
Bolivia (Estado Plurinacional de),2012,39,62,33,15,4,36
Bolivia (Estado Plurinacional de),2013,39,67,37,18,5,37
Bolivia (Estado Plurinacional de),2014,37,63,34,13,4,35
Bolivia (Estado Plurinacional de),2015,39,68,38,14,5,38
Bolivia (Estado Plurinacional de),2016,34,73,45,18,5,39
Bolivia (Estado Plurinacional de),2017,27,66,45,17,5,36
Bolivia (Estado Plurinacional de),2018,35,78,55,23,8,44
Bolivia (Estado Plurinacional de),2019,33,79,60,30,12,48
Bolivia (Estado Plurinacional de),2020,56,84,73,40,17,60
Bolivia (Estado Plurinacional de),2021,68,86,73,45,21,66
Brasil,2005,28,31,21,10,2,21
Brasil,2008,55,54,32,15,4,35
Brasil,2009,63,63,40,20,5,42
Brasil,2011,68,67,48,23,7,47
Brasil,2012,71,70,51,26,8,49
Brasil,2013,69,71,53,26,9,49
Brasil,2014,74,79,59,31,10,54
Brasil,2015,74,81,64,35,12,58
Chile,2000,30,26,15,8,2,19
Chile,2003,44,40,22,13,3,28
Chile,2006,61,58,30,14,3,37
Chile,2009,61,67,40,22,6,43
Chile,2011,77,78,53,26,8,53
Chile,2013,81,85,64,32,10,60
Chile,2015,83,92,77,44,16,68
Chile,2017,84,94,86,58,23,75
Colombia,2012,67,70,46,20,5,49
Colombia,2013,70,74,49,24,5,52
Colombia,2014,71,73,51,24,7,53
Colombia,2015,71,77,57,29,9,56
Colombia,2016,69,80,62,34,10,58
Colombia,2018,66,83,71,48,21,64
Colombia,2019,67,83,74,50,22,65
Colombia,2020,74,84,78,57,29,70
Colombia,2021,78,87,81,61,32,73
Colombia,2022,72,88,83,62,33,73
Costa Rica,2012,54,70,51,26,9,48
Costa Rica,2015,62,82,69,40,14,60
Costa Rica,2016,67,86,77,50,18,66
Costa Rica,2017,72,91,83,59,24,72
Costa Rica,2018,71,91,86,64,27,74
Costa Rica,2019,78,96,94,76,37,81
Costa Rica,2020,80,94,91,76,39,81
Costa Rica,2021,82,95,92,80,46,83
Costa Rica,2022,78,94,92,83,51,83
Ecuador,2009,29,45,22,12,1,25
Ecuador,2010,38,51,25,13,3,29
Ecuador,2013,54,63,37,18,4,40
Ecuador,2015,61,75,50,22,5,51
Ecuador,2016,66,80,57,27,7,56
Ecuador,2017,65,83,63,30,7,58
Ecuador,2018,54,82,68,39,14,56
Ecuador,2019,54,85,73,46,16,59
El Salvador,2006,6,9,4,2,1,5
El Salvador,2007,9,12,5,2,0,7
El Salvador,2009,18,20,9,5,1,12
El Salvador,2010,23,27,13,6,2,16
El Salvador,2012,32,33,16,8,2,21
El Salvador,2013,37,36,19,9,3,23
El Salvador,2014,39,39,21,9,4,25
El Salvador,2015,41,43,23,11,5,27
El Salvador,2016,41,45,26,12,3,28
El Salvador,2017,45,55,34,15,4,34
El Salvador,2018,48,63,44,22,8,41
El Salvador,2019,58,73,56,31,13,51
Honduras,2004,4,11,6,3,1,6
Honduras,2005,5,12,7,3,1,7
Honduras,2009,8,19,10,4,1,10
Honduras,2010,10,23,12,5,1,12
Honduras,2011,14,28,15,7,2,15
Honduras,2012,15,29,14,6,2,15
Honduras,2013,16,35,18,7,1,18
Honduras,2014,22,38,24,10,3,23
Honduras,2015,25,47,29,11,4,27
Honduras,2016,24,51,33,14,4,30
Honduras,2018,28,60,43,25,8,37
Honduras,2019,27,62,51,30,12,40
México,2015,59,66,62,47,29,57
México,2016,59,65,63,54,39,60
México,2017,64,71,68,58,41,64
México,2018,64,71,68,58,41,64
México,2019,70,76,74,67,48,70
México,2020,73,77,76,68,52,73
México,2021,77,81,79,72,55,76
México,2022,79,84,82,75,57,79
Panamá,2014,64,61,46,27,8,45
Panamá,2015,71,69,54,31,10,51
Panamá,2016,69,72,59,36,11,54
Panamá,2017,72,79,68,41,14,60
Panamá,2018,70,79,70,49,18,62
Panamá,2019,73,80,72,51,20,64
Panamá,2022,81,89,84,73,39,76
Paraguay,2005,8,13,8,2,1,8
Paraguay,2006,8,17,8,2,1,8
Paraguay,2007,12,20,10,5,2,11
Paraguay,2008,17,25,14,7,1,15
Paraguay,2009,22,31,17,8,1,19
Paraguay,2010,24,31,18,8,2,20
Paraguay,2011,28,37,24,10,3,24
Paraguay,2012,34,48,27,11,3,29
Paraguay,2013,41,60,38,12,3,37
Paraguay,2015,46,75,57,19,4,50
Paraguay,2016,44,81,63,26,7,53
Paraguay,2017,50,85,73,34,11,61
Paraguay,2018,51,88,78,42,13,65
Paraguay,2019,55,91,82,49,13,69
Paraguay,2020,71,90,85,55,19,74
Paraguay,2021,70,92,89,61,25,77
Paraguay,2022,64,91,88,64,29,76
Perú,2007,38,55,26,11,2,30
Perú,2008,39,55,26,11,3,31
Perú,2009,42,58,29,13,3,33
Perú,2010,43,58,29,14,3,33
Perú,2011,45,60,31,15,4,34
Perú,2012,46,64,33,18,4,36
Perú,2013,47,66,35,17,5,37
Perú,2014,47,68,37,18,5,38
Perú,2015,47,69,38,20,6,39
Perú,2016,50,75,45,23,7,43
Perú,2017,51,79,50,26,8,46
Perú,2018,52,82,57,31,10,49
Perú,2019,55,86,63,36,13,54
Perú,2020,68,87,69,42,18,61
Perú,2021,81,91,76,48,20,68
Perú,2022,72,93,80,54,23,69
Uruguay,2008,51,60,38,21,5,36
Uruguay,2009,68,60,43,24,6,42
Uruguay,2010,78,66,49,28,8,48
Uruguay,2011,79,71,55,33,9,52
Uruguay,2012,81,74,59,35,11,54
Uruguay,2013,84,77,62,40,13,58
Uruguay,2014,84,80,68,46,16,62
Uruguay,2015,85,84,73,49,18,65
Uruguay,2016,89,90,81,58,26,72
Uruguay,2017,90,92,87,66,33,77
Uruguay,2018,90,95,91,73,39,81
Uruguay,2019,91,95,93,79,44,83
